Class,Alcohol,Malic Acid,Ash,Alcalinity of Ash,Magnesium,Total Phenols,Flavanoids,Nonflavanoid Phenols,Proanthocyanins,Color Intensity,Hue,OD280/OD315 of Diluted Wines,Proline,,Euclidian Distance,,Sorted,Class,Determined,Instance to Classify,,,,,,,,,,,,
2,11.65,1.67,2.62,26,88,1.92,1.61,0.4,1.34,2.6,1.36,3.21,562,,1118.24222340243,,1005.02043113561,,,,,,,,,,,,,,,
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1,2.75,680,,1000.32531078645,,1005.06234000683,,,,,,,,,,,,,,,
2,12.08,1.33,2.3,23.6,70,2.2,1.59,0.42,1.38,1.74,1.07,3.21,625,,1055.73647630457,,1008.29125886323,,,,,,,,,,,,,,,
2,12.08,1.83,2.32,18.5,81,1.6,1.5,0.52,1.64,2.4,1.08,2.27,480,,1200.32763593945,,1020.09796505042,,,,,,,,,,,,,,,
2,12,1.51,2.42,22,86,1.45,1.25,0.5,1.63,3.6,1.05,2.65,450,,1230.22592136567,,1020.15594768643,,,,,,,,,,,,,,,
2,12.69,1.53,2.26,20.7,80,1.38,1.46,0.58,1.62,3.05,0.96,2.06,495,,1185.35708860242,,1020.20855764888,,,,,,,,,,,,,,,
2,12.29,2.83,2.22,18,88,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290,,1390.16336133564,,1030.14503105145,,,,,,,,,,,,,,,
2,11.62,1.99,2.28,18,98,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345,,1335.05315691923,,1030.27126029993,,,,,,,,,,,,,,,
2,12.47,1.52,2.2,19,162,2.5,2.27,0.32,3.28,2.6,1.16,2.63,937,,744.994600450232,,1040.02793832666,,,,,,,,,,,,,,,
2,11.81,2.12,2.74,21.5,134,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625,,1055.35894410385,,1050.05255606565,,,,,,,,,,,,,,,
2,12.29,1.41,1.98,16,85,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428,,1252.22737759562,,1050.10970174549,,,,,,,,,,,,,,,
2,12.37,1.07,2.1,18.5,88,3.52,3.75,0.24,1.95,4.5,1.04,2.77,660,,1020.20855764888,,1050.11193160539,,,,,,,,,,,,,,,
2,12.29,3.17,2.21,18,88,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406,,1274.17715840459,,1050.48113333843,,,,,,,,,,,,,,,
2,12.08,2.08,1.7,17.5,97,2.23,2.17,0.26,1.4,3.3,1.27,2.96,710,,970.082954957977,,1055.09292960383,,,,,,,,,,,,,,,
2,12.6,1.34,1.9,18.5,88,1.45,1.36,0.29,1.35,2.45,1.04,2.77,562,,1118.2040585242,,1055.25433138178,,,,,,,,,,,,,,,
2,12.34,2.45,2.46,21,98,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438,,1242.06597405291,,1055.35894410385,,,,,,,,,,,,,,,
2,11.82,1.72,1.88,19.5,86,2.5,1.64,0.37,1.42,2.06,0.94,2.44,415,,1265.2171323927,,1055.73647630457,,,,,,,,,,,,,,,
2,12.51,1.73,1.98,20.5,85,2.2,1.92,0.32,1.48,2.94,1.04,3.57,672,,1008.29125886323,,1060.19671740673,,,,,,,,,,,,,,,
2,12.42,2.55,2.27,22,90,1.68,1.84,0.66,1.42,2.7,0.86,3.3,315,,1365.14725125167,,1065.17521389676,,,,,,,,,,,,,,,
2,12.25,1.73,2.12,19,80,1.65,2.03,0.37,1.63,3.4,1,3.17,510,,1170.35414131792,,1073.03513269604,,,,,,,,,,,,,,,
2,12.72,1.75,2.28,22.5,84,1.38,1.76,0.48,1.63,3.3,0.88,2.42,488,,1192.2735184512,,1080.02888169715,,,,,,,,,,,,,,,
2,12.22,1.29,1.94,19,92,2.36,2.04,0.39,2.08,2.7,0.86,3.02,312,,1368.11227550958,,1080.09295655513,,,,,,,,,,,,,,,
2,11.61,1.35,2.7,20,94,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680,,1000.12679841108,,1090.06284915137,,,,,,,,,,,,,,,
2,11.46,3.74,1.82,19.5,107,3.18,2.58,0.24,3.58,2.9,0.75,2.81,562,,1118.02736245586,,1100.19975613522,,,,,,,,,,,,,,,
2,12.52,2.43,2.17,21,88,2.55,2.27,0.26,1.22,2,0.9,2.78,325,,1355.17436973992,,1100.39545400733,,,,,,,,,,,,,,,
2,11.76,2.68,2.92,20,103,1.75,2.03,0.6,1.05,3.8,1.23,2.5,607,,1073.03513269604,,1110.02880408573,,,,,,,,,,,,,,,
2,11.41,0.74,2.5,21,88,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434,,1246.18662643281,,1116.23196428879,,,,,,,,,,,,,,,
2,12.08,1.39,2.5,22.5,84,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385,,1295.25259355077,,1118.02736245586,,,,,,,,,,,,,,,
2,11.03,1.51,2.2,21.5,85,2.46,2.17,0.52,2.01,1.9,1.71,2.87,407,,1273.24130038261,,1118.2040585242,,,,,,,,,,,,,,,
2,11.82,1.47,1.99,20.8,86,1.98,1.6,0.3,1.53,1.95,0.95,3.33,495,,1185.23691429182,,1118.24222340243,,,,,,,,,,,,,,,
2,12.42,1.61,2.19,22.5,108,2,2.09,0.34,1.61,2.06,1.06,2.96,345,,1335.03314340881,,1120.08208949166,,,,,,,,,,,,,,,
2,12.77,3.43,1.98,16,80,1.63,1.25,0.43,0.83,3.4,0.7,2.12,372,,1308.31716613366,,1120.10197000095,,,,,,,,,,,,,,,
2,12,3.43,2,19,87,2,1.64,0.37,1.87,1.28,0.93,3.05,564,,1116.23196428879,,1130.03109284656,,,,,,,,,,,,,,,
2,11.45,2.4,2.42,20,96,2.9,2.79,0.32,1.83,3.25,0.8,3.39,625,,1055.09292960383,,1130.13772687226,,,,,,,,,,,,,,,
2,11.56,2.05,3.23,28.5,119,3.18,5.08,0.47,1.87,6,0.93,3.69,465,,1215.11612095306,,1150.02497103324,,,,,,,,,,,,,,,
2,12.42,4.43,2.73,26.5,102,2.2,2.13,0.43,1.71,2.08,0.92,3.12,365,,1315.0744298708,,1160.09010757786,,,,,,,,,,,,,,,
2,13.05,5.8,2.13,21.5,86,2.62,2.65,0.3,2.01,2.6,0.73,3.1,380,,1300.21836946722,,1160.10382065572,,,,,,,,,,,,,,,
2,11.87,4.31,2.39,21,82,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380,,1300.28722592356,,1160.19070863371,,,,,,,,,,,,,,,
2,12.07,2.16,2.17,21,85,2.6,2.65,0.37,1.35,2.76,0.86,3.28,378,,1302.22739508121,,1160.2009320803,,,,,,,,,,,,,,,
2,12.43,1.53,2.29,21.5,86,2.74,3.15,0.39,1.77,3.94,0.69,2.84,352,,1328.20180014183,,1160.21614425934,,,,,,,,,,,,,,,
2,11.79,2.13,2.78,28.5,92,2.13,2.24,0.58,1.76,3,0.97,2.44,466,,1214.18250119165,,1165.11311695474,,,,,,,,,,,,,,,
2,12.37,1.63,2.3,24.5,88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342,,1338.19211057307,,1165.25569558788,,,,,,,,,,,,,,,
2,12.04,4.3,2.38,22,80,2.1,1.75,0.42,1.35,2.6,0.79,2.57,580,,1100.39545400733,,1170.07913138386,,,,,,,,,,,,,,,
3,12.86,1.35,2.32,18,122,1.51,1.25,0.21,0.94,4.1,0.76,1.29,630,,1050.11193160539,,1170.35414131792,,,,,,,,,,,,,,,
3,12.88,2.99,2.4,20,104,1.3,1.22,0.24,0.83,5.4,0.74,1.42,530,,1150.02497103324,,1170.39986175666,,,,,,,,,,,,,,,
3,12.81,2.31,2.4,24,98,1.15,1.09,0.27,0.83,5.7,0.66,1.36,560,,1120.08208949166,,1178.38911561504,,,,,,,,,,,,,,,
3,12.7,3.55,2.36,21.5,106,1.7,1.2,0.17,0.84,5,0.78,1.29,600,,1080.02888169715,,1180.03069413469,,,,,,,,,,,,,,,
3,12.51,1.24,2.25,17.5,85,2,0.58,0.6,1.25,5.45,0.75,1.51,650,,1030.27126029993,,1180.12557734336,,,,,,,,,,,,,,,
3,12.6,2.46,2.2,18.5,94,1.62,0.66,0.63,0.94,7.1,0.73,1.58,695,,985.11276958529,,1185.17494759213,,,,,,,,,,,,,,,
3,12.25,4.72,2.54,21,89,1.38,0.47,0.53,0.8,3.85,0.75,1.27,720,,960.227991260409,,1185.23691429182,,,,,,,,,,,,,,,
3,12.53,5.51,2.64,25,96,1.79,0.6,0.63,1.1,5,0.82,1.69,515,,1165.11311695474,,1185.35708860242,,,,,,,,,,,,,,,
3,13.49,3.59,2.19,19.5,88,1.62,0.48,0.58,0.88,5.7,0.81,1.82,580,,1100.19975613522,,1192.2735184512,,,,,,,,,,,,,,,
3,12.84,2.96,2.61,24,101,2.32,0.6,0.53,0.81,4.92,0.89,2.15,590,,1090.06284915137,,1200.02768930554,,,,,,,,,,,,,,,
3,12.93,2.81,2.7,21,96,1.54,0.5,0.53,0.75,4.6,0.77,2.31,600,,1080.09295655513,,1200.16266943277,,,,,,,,,,,,,,,
3,13.36,2.56,2.35,20,89,1.4,0.5,0.37,0.64,5.6,0.7,2.47,780,,900.223181161205,,1200.32763593945,,,,,,,,,,,,,,,
3,13.52,3.17,2.72,23.5,97,1.55,0.52,0.5,0.55,4.35,0.89,2.06,520,,1160.09010757786,,1208.21916227976,,,,,,,,,,,,,,,
3,13.62,4.95,2.35,20,92,2,0.8,0.47,1.02,4.4,0.91,2.05,550,,1130.13772687226,,1210.21314097873,,,,,,,,,,,,,,,
3,12.25,3.88,2.2,18.5,112,1.38,0.78,0.29,1.14,8.21,0.65,2,855,,825.026946953856,,1214.18250119165,,,,,,,,,,,,,,,
3,13.16,3.57,2.15,21,102,1.5,0.55,0.43,1.3,4,0.6,1.68,830,,850.058890195262,,1215.11612095306,,,,,,,,,,,,,,,
3,13.88,5.04,2.23,20,80,0.98,0.34,0.4,0.68,4.9,0.58,1.33,415,,1265.33397290992,,1217.05689883423,,,,,,,,,,,,,,,
3,12.87,4.61,2.48,21.5,86,1.7,0.65,0.47,0.86,7.65,0.54,1.86,625,,1055.25433138178,,1230.03520494334,,,,,,,,,,,,,,,
3,13.32,3.24,2.38,21.5,92,1.93,0.76,0.45,1.25,8.42,0.55,1.62,650,,1030.14503105145,,1230.05219507141,,,,,,,,,,,,,,,
3,13.08,3.9,2.36,21.5,113,1.41,1.39,0.34,1.14,9.4,0.57,1.33,550,,1130.03109284656,,1230.22592136567,,,,,,,,,,,,,,,
3,13.5,3.12,2.62,24,123,1.4,1.57,0.22,1.25,8.6,0.59,1.3,500,,1180.12557734336,,1242.06597405291,,,,,,,,,,,,,,,
3,12.79,2.67,2.48,22,112,1.48,1.36,0.24,1.26,10.8,0.48,1.47,480,,1200.02768930554,,1246.18662643281,,,,,,,,,,,,,,,
3,13.11,1.9,2.75,25.5,116,2.2,1.28,0.26,1.56,7.1,0.61,1.33,425,,1255.06367408192,,1252.06447565611,,,,,,,,,,,,,,,
3,13.23,3.3,2.28,18.5,98,1.8,0.83,0.61,1.87,10.52,0.56,1.51,675,,1005.06234000683,,1252.22737759562,,,,,,,,,,,,,,,
3,12.58,1.29,2.1,20,103,1.48,0.58,0.53,1.4,7.6,0.58,1.55,640,,1040.02793832666,,1255.06367408192,,,,,,,,,,,,,,,
3,13.17,5.19,2.32,22,93,1.74,0.63,0.61,1.55,7.9,0.6,1.48,725,,955.149523530217,,1260.18637010563,,,,,,,,,,,,,,,
3,13.84,4.12,2.38,19.5,89,1.8,0.83,0.48,1.56,9.01,0.57,1.64,480,,1200.16266943277,,1265.2171323927,,,,,,,,,,,,,,,
3,12.45,3.03,2.64,27,97,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880,,800.158181549124,,1265.33397290992,,,,,,,,,,,,,,,
3,14.34,1.68,2.7,25,98,2.8,1.31,0.53,2.7,13,0.57,1.96,660,,1020.09796505042,,1270.23073333155,,,,,,,,,,,,,,,
3,13.48,1.67,2.64,22.5,89,2.6,1.1,0.52,2.29,11.75,0.57,1.78,620,,1060.19671740673,,1273.24130038261,,,,,,,,,,,,,,,
3,12.36,3.83,2.38,21,88,2.3,0.92,0.5,1.04,7.65,0.56,1.58,520,,1160.19070863371,,1274.17715840459,,,,,,,,,,,,,,,
3,13.69,3.26,2.54,20,107,1.83,0.56,0.5,0.8,5.88,0.96,1.82,680,,1000.01999560009,,1288.19765203171,,,,,,,,,,,,,,,
3,12.85,3.27,2.58,22,106,1.65,0.6,0.6,0.96,5.58,0.87,2.11,570,,1110.02880408573,,1295.25259355077,,,,,,,,,,,,,,,
3,12.96,3.45,2.35,18.5,106,1.39,0.7,0.4,0.94,5.28,0.68,1.75,675,,1005.02043113561,,1300.21836946722,,,,,,,,,,,,,,,
3,13.78,2.76,2.3,22,90,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615,,1065.17521389676,,1300.28722592356,,,,,,,,,,,,,,,
3,13.73,4.36,2.26,22.5,88,1.28,0.47,0.52,1.15,6.62,0.78,1.75,520,,1160.2009320803,,1302.22739508121,,,,,,,,,,,,,,,
3,13.45,3.7,2.6,23,111,1.7,0.92,0.43,1.46,10.68,0.85,1.56,695,,985.037414873161,,1308.31716613366,,,,,,,,,,,,,,,
3,12.82,3.37,2.3,19.5,88,1.48,0.66,0.4,0.97,10.26,0.72,1.75,685,,995.21742353116,,1315.0744298708,,,,,,,,,,,,,,,
3,13.58,2.58,2.69,24.5,105,1.55,0.84,0.39,1.54,8.66,0.74,1.8,750,,930.047523678226,,1325.02538005881,,,,,,,,,,,,,,,
3,13.4,4.6,2.86,25,112,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630,,1050.05255606565,,1328.20180014183,,,,,,,,,,,,,,,
3,12.2,3.03,2.32,19,96,1.25,0.49,0.4,0.73,5.5,0.66,1.83,510,,1170.07913138386,,1335.03314340881,,,,,,,,,,,,,,,
3,12.77,2.39,2.28,19.5,86,1.39,0.51,0.48,0.64,9.899999,0.57,1.63,470,,1210.21314097873,,1335.05315691923,,,,,,,,,,,,,,,
3,14.16,2.51,2.48,20,91,1.68,0.7,0.44,1.24,9.7,0.62,1.71,660,,1020.15594768643,,1338.19211057307,,,,,,,,,,,,,,,
3,13.71,5.65,2.45,20.5,95,1.68,0.61,0.52,1.06,7.7,0.64,1.74,740,,940.116246110022,,1355.17436973992,,,,,,,,,,,,,,,
3,13.4,3.91,2.48,23,102,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750,,930.054117780251,,1365.14725125167,,,,,,,,,,,,,,,
3,13.27,4.28,2.26,20,120,1.59,0.69,0.43,1.35,10.2,0.59,1.56,835,,845.107875954307,,1368.11227550958,,,,,,,,,,,,,,,
3,13.17,2.59,2.37,20,120,1.65,0.68,0.53,1.46,9.3,0.6,1.62,840,,840.103558199821,,1390.16336133564,,,,,,,,,,,,,,,
3,14.13,4.1,2.74,24.5,96,2.05,0.76,0.56,1.35,9.2,0.61,1.6,560,,1120.10197000095,,1402.19186508124,,,,,,,,,,,,,,,
